ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,destination_airport_ICAO,id
4b1b0e,HBKGK,2022-09-18T09:26:37Z,2022-09-18,2022-09-18T09:59:13Z,2022-09-18,LSGL,LSGE,4b1b0e_2022-09-18 11:26:37
4b1bdd,HBKOJ,2022-09-18T09:37:54Z,2022-09-18,2022-09-18T09:55:59Z,2022-09-18,LSGL,LSGE,4b1bdd_2022-09-18 11:37:54
4b28a6,HBPKG,2022-09-18T12:24:34Z,2022-09-18,2022-09-18T13:10:31Z,2022-09-18,LSGL,LSPL,4b28a6_2022-09-18 14:24:34
4b43ad,RGA04,2022-09-18T12:50:31Z,2022-09-18,2022-09-18T13:03:20Z,2022-09-18,LSGL,LSGT,4b43ad_2022-09-18 14:50:31
4b0acd,HBECJ,2022-09-18T14:52:43Z,2022-09-18,2022-09-18T15:23:35Z,2022-09-18,LSGL,LSPL,4b0acd_2022-09-18 16:52:43
4b43ad,RGA04,2022-09-19T03:21:22Z,2022-09-19,2022-09-19T03:32:29Z,2022-09-19,LSGL,LSGB,4b43ad_2022-09-19 05:21:22
460861,FSF687C,2022-09-19T07:06:07Z,2022-09-19,2022-09-19T08:50:57Z,2022-09-19,LSGL,LSGL,460861_2022-09-19 09:06:07
4b1af2,HBKFI,2022-09-19T08:28:04Z,2022-09-19,2022-09-19T08:45:56Z,2022-09-19,LSGL,LSGT,4b1af2_2022-09-19 10:28:04
400c04,GKENZ,2022-09-19T08:35:17Z,2022-09-19,2022-09-19T15:13:59Z,2022-09-19,LSGL,LSGL,400c04_2022-09-19 10:35:17
4d02a4,JFA16V,2022-09-19T08:52:38Z,2022-09-19,2022-09-19T09:49:54Z,2022-09-19,LSGL,NA,4d02a4_2022-09-19 10:52:38
460861,OHDEN,2022-09-19T11:28:03Z,2022-09-19,2022-09-19T11:39:27Z,2022-09-19,LSGL,LSGL,460861_2022-09-19 13:28:03
4b43ad,RGA04,2022-09-19T11:44:07Z,2022-09-19,2022-09-19T11:55:42Z,2022-09-19,LSGL,LSGG,4b43ad_2022-09-19 13:44:07
4b1bdd,HBKOJ,2022-09-19T12:12:37Z,2022-09-19,2022-09-19T12:57:59Z,2022-09-19,LSGL,LSGL,4b1bdd_2022-09-19 14:12:37
461108,FSF22G,2022-09-19T12:55:47Z,2022-09-19,2022-09-19T13:46:26Z,2022-09-19,LSGL,LFMC,461108_2022-09-19 14:55:47
4b1b13,HBKGP,2022-09-19T13:10:49Z,2022-09-19,2022-09-19T13:55:36Z,2022-09-19,LSGL,LSZB,4b1b13_2022-09-19 15:10:49
4b1b0e,HBKGK,2022-09-19T13:12:13Z,2022-09-19,2022-09-19T13:58:12Z,2022-09-19,LSGL,LSZB,4b1b0e_2022-09-19 15:12:13
4b28e3,HBPMP,2022-09-19T13:45:36Z,2022-09-19,2022-09-19T14:40:47Z,2022-09-19,LSGL,LSGL,4b28e3_2022-09-19 15:45:36
460cb6,FSF663R,2022-09-19T14:46:39Z,2022-09-19,2022-09-19T15:26:44Z,2022-09-19,LSGL,LFLC,460cb6_2022-09-19 16:46:39
4b28e3,HBPMP,2022-09-19T16:12:05Z,2022-09-19,2022-09-19T16:52:13Z,2022-09-19,LSGL,LSGL,4b28e3_2022-09-19 18:12:05
